Open Time,Open,High,Low,Close,Volume
2024-05-01 00:00:00,60672.01000000,60841.63000000,59590.00000000,60246.03000000,6530.47723000
2024-05-01 04:00:00,60246.02000000,60361.09000000,57100.00000000,57499.99000000,15737.62045000
2024-05-01 08:00:00,57500.00000000,57909.00000000,56552.82000000,57898.47000000,18606.56140000
2024-05-01 12:00:00,57898.46000000,58275.87000000,56674.51000000,56886.00000000,11686.74779000
2024-05-01 16:00:00,56886.00000000,59468.00000000,56625.09000000,56954.47000000,20507.82488000
2024-05-01 20:00:00,56954.46000000,58575.32000000,56760.02000000,58364.97000000,8097.23648000
2024-05-02 00:00:00,58364.97000000,58610.55000000,56911.84000000,57442.88000000,11212.01702000
2024-05-02 04:00:00,57442.88000000,57945.19000000,57202.49000000,57681.08000000,4030.55930000
2024-05-02 08:00:00,57681.08000000,58689.55000000,57561.14000000,58559.66000000,7270.28163000
2024-05-02 12:00:00,58559.66000000,59455.00000000,58222.00000000,59264.15000000,15027.94977000
2024-05-02 16:00:00,59264.16000000,59575.29000000,58943.38000000,59351.11000000,5176.24271000
2024-05-02 20:00:00,59351.10000000,59625.00000000,58637.62000000,59060.61000000,4866.76918000
2024-05-03 00:00:00,59060.60000000,59999.00000000,58811.32000000,59720.30000000,5109.40917000
2024-05-03 04:00:00,59720.30000000,59844.94000000,59061.63000000,59190.74000000,3909.03360000
2024-05-03 08:00:00,59190.74000000,59575.48000000,58849.94000000,59291.09000000,3640.85276000
2024-05-03 12:00:00,59291.10000000,62115.64000000,58991.99000000,61690.74000000,19191.72512000
2024-05-03 16:00:00,61690.74000000,62179.99000000,61533.20000000,62067.32000000,4594.31487000
2024-05-03 20:00:00,62067.32000000,63333.00000000,61974.00000000,62882.01000000,7183.06591000
2024-05-04 00:00:00,62882.01000000,63595.14000000,62541.03000000,62724.00000000,4743.46495000
2024-05-04 04:00:00,62724.00000000,63450.00000000,62686.00000000,62959.03000000,3268.58824000
2024-05-04 08:00:00,62959.03000000,64540.00000000,62924.37000000,63873.31000000,6546.74516000
2024-05-04 12:00:00,63873.30000000,64158.19000000,63434.53000000,63609.17000000,3811.93368000
2024-05-04 16:00:00,63609.17000000,64019.83000000,63300.58000000,63921.18000000,3617.97274000
2024-05-04 20:00:00,63921.17000000,64240.76000000,63550.00000000,63892.04000000,2379.98805000
2024-05-05 00:00:00,63892.03000000,64188.00000000,62822.17000000,63235.93000000,4023.81118000
2024-05-05 04:00:00,63235.93000000,63959.00000000,63119.32000000,63736.87000000,1984.95667000
2024-05-05 08:00:00,63736.86000000,63937.17000000,63539.53000000,63859.63000000,2431.33573000
2024-05-05 12:00:00,63859.63000000,64646.00000000,63618.91000000,64428.65000000,5405.83792000
2024-05-05 16:00:00,64428.64000000,64554.68000000,63811.01000000,63879.94000000,2871.91182000
2024-05-05 20:00:00,63879.94000000,64227.51000000,63582.08000000,64012.00000000,1808.89697000
2024-05-06 00:00:00,64012.00000000,64465.00000000,63708.58000000,63866.59000000,3162.30361000
