Open Time,Open,High,Low,Close,Volume
2024-05-01 00:00:00,60672.01000000,60841.63000000,60601.93000000,60601.93000000,390.23536000
2024-05-01 00:15:00,60601.94000000,60721.59000000,60380.57000000,60425.57000000,376.35370000
2024-05-01 00:30:00,60425.57000000,60425.57000000,60078.52000000,60354.00000000,619.30620000
2024-05-01 00:45:00,60354.00000000,60425.56000000,60183.33000000,60240.57000000,301.79879000
2024-05-01 01:00:00,60240.58000000,60327.83000000,59871.82000000,59891.11000000,586.80247000
2024-05-01 01:15:00,59891.10000000,60336.13000000,59850.06000000,60298.11000000,606.28223000
2024-05-01 01:30:00,60298.11000000,60408.29000000,60243.79000000,60243.79000000,355.11327000
2024-05-01 01:45:00,60243.79000000,60243.80000000,60023.20000000,60133.78000000,352.73840000
2024-05-01 02:00:00,60133.79000000,60177.68000000,59590.00000000,59590.00000000,937.39568000
2024-05-01 02:15:00,59590.01000000,59871.10000000,59590.00000000,59742.32000000,567.82174000
2024-05-01 02:30:00,59742.31000000,59940.65000000,59661.10000000,59817.99000000,377.09794000
2024-05-01 02:45:00,59818.00000000,59978.00000000,59817.99000000,59927.99000000,214.63026000
2024-05-01 03:00:00,59927.99000000,60097.09000000,59903.17000000,60055.96000000,244.70230000
2024-05-01 03:15:00,60055.96000000,60121.16000000,60000.69000000,60008.14000000,150.95913000
2024-05-01 03:30:00,60008.13000000,60245.64000000,60000.00000000,60180.00000000,212.21422000
2024-05-01 03:45:00,60180.01000000,60317.88000000,60117.73000000,60246.03000000,237.02554000
2024-05-01 04:00:00,60246.02000000,60361.09000000,60216.28000000,60308.01000000,306.54277000
2024-05-01 04:15:00,60308.01000000,60311.32000000,60190.00000000,60208.08000000,171.55806000
2024-05-01 04:30:00,60208.08000000,60316.98000000,60194.00000000,60282.00000000,183.29658000
2024-05-01 04:45:00,60282.00000000,60333.87000000,60208.13000000,60283.99000000,176.29460000
2024-05-01 05:00:00,60283.99000000,60334.76000000,60136.59000000,60164.00000000,181.77564000
2024-05-01 05:15:00,60164.00000000,60215.93000000,60002.95000000,60027.78000000,247.87121000
2024-05-01 05:30:00,60027.77000000,60250.00000000,60000.00000000,60048.69000000,220.86793000
2024-05-01 05:45:00,60048.69000000,60067.62000000,59931.59000000,60050.00000000,240.48996000
2024-05-01 06:00:00,60049.99000000,60113.24000000,59891.78000000,59928.02000000,252.50079000
2024-05-01 06:15:00,59928.01000000,59992.01000000,59720.45000000,59731.65000000,238.07434000
2024-05-01 06:30:00,59731.65000000,59849.58000000,59644.50000000,59807.99000000,401.06832000
2024-05-01 06:45:00,59808.00000000,59858.11000000,59500.55000000,59529.94000000,455.46968000
2024-05-01 07:00:00,59529.94000000,59569.23000000,58050.14000000,58516.00000000,3736.11382000
2024-05-01 07:15:00,58516.01000000,58651.96000000,57501.00000000,57993.88000000,3322.26133000
2024-05-01 07:30:00,57993.87000000,58161.10000000,57100.00000000,57714.53000000,3578.01108000
2024-05-01 07:45:00,57714.53000000,57920.16000000,57355.60000000,57499.99000000,2025.42434000
2024-05-01 08:00:00,57500.00000000,57596.63000000,57000.00000000,57347.31000000,3553.79516000
2024-05-01 08:15:00,57347.30000000,57347.31000000,56552.82000000,57019.97000000,3852.43142000
2024-05-01 08:30:00,57019.98000000,57174.11000000,56823.04000000,56888.00000000,1723.67984000
2024-05-01 08:45:00,56888.00000000,57169.70000000,56801.10000000,57169.69000000,1387.43717000
